sa2_name_2011,date,Room nights occupied (no.),Room nights available (no.),Room occupancy rate (%),Guest nights occupied (no.),Guest nights available (no.),Bed occupancy rate (%),Takings from accommodation ($),Average takings per room night occupied ($),Average takings per room night available ($)
Darwin City,2015-07-01,105259,120621,87.3,165692,312280,53.1,23459845,222.88,194.49
Fannie Bay - The Gardens,2015-07-01,,,,,,,,,
Larrakeyah,2015-07-01,,,,,,,,,
Parap,2015-07-01,3334,4402,75.7,4946,9765,50.7,458453,137.52,104.15
Woolner - Bayview - Winnellie,2015-07-01,,,,,,,,,
Berrimah,2015-07-01,,,,,,,,,
Jingili,2015-07-01,,,,,,,,,
Lyons (NT),2015-07-01,,,,,,,,,
Malak - Marrara,2015-07-01,,,,,,,,,
Humpty Doo,2015-07-01,,,,,,,,,
Palmerston - North,2015-07-01,,,,,,,,,
Barkly,2015-07-01,,,,,,,,,
Tennant Creek,2015-07-01,,,,,,,,,
Charles,2015-07-01,,,,,,,,,
East Side,2015-07-01,,,,,,,,,
Mount Johns,2015-07-01,19655,27156,72.4,34833,78771,44.2,2314429,117.75,85.23
Alligator,2015-07-01,9381,16213,57.9,21747,49228,44.2,1774673,189.19,109.46
Anindilyakwa,2015-07-01,,,,,,,,,
Nhulunbuy,2015-07-01,,,,,,,,,
Elsey,2015-07-01,,,,,,,,,
Gulf,2015-07-01,,,,,,,,,
Katherine,2015-07-01,,,,,,,,,
Sandover - Plenty,2015-07-01,,,,,,,,,
Petermann - Simpson,2015-07-01,22017,27710,79.5,50632,93378,54.2,5884556,267.27,212.36
Darwin City,2015-08-01,100604,120621,83.4,154966,312280,49.6,21570394,214.41,178.83
Fannie Bay - The Gardens,2015-08-01,,,,,,,,,
Larrakeyah,2015-08-01,,,,,,,,,
Parap,2015-08-01,3524,4402,80,4718,9765,48.3,459636,130.44,104.42
Woolner - Bayview - Winnellie,2015-08-01,,,,,,,,,
Berrimah,2015-08-01,,,,,,,,,
Jingili,2015-08-01,,,,,,,,,
